keys,es,ru,pt,de,jp,fr,pl
leave,dejar,оставлять,deixar,verlassen,離れる,partir,Zostawić
don't let Pimpledump show you his secret pimple,No dejes que Pimpledump te muestre su grano secreto.,Не позволяйте Пимплдампу показать вам свой секретный прыщ.,Não deixe que Pimpledump revele a espinha secreta dele.,Lass dir von Pimpledump bloß nicht seinen geheimen Pickel zeigen!,ピンプルダンプに秘密のニキビを見せさせないで,Ne laissez pas Pimpledump vous montrer son bouton secret,nie pozwól Pimpledumpowi pokazać ci jego sekretnego pryszcza
long ago there was once a bread named Barry,Hace mucho tiempo existió un pan llamado Barry.,Давным-давно существовал хлеб по имени Барри.,"Há muito tempo atrás, existiu um pão chamado Barry.",Vor langer Zeit gab es einmal ein Brot namens Barry.,昔々、バリーという名前のパンがありました,"Il y a longtemps, il existait un pain nommé Barry.",dawno temu istniał chleb o imieniu Barry
"made you look, dumbahh","Te hice mirar, dumbah",Ты выглядишь как дурак!,"Te peguei, seu bobão!","Ich hab dich zum Staunen gebracht, du Dummkopf!",バカみたいに見せちゃったね,"t'as regardé, imbécile","sprawiło, że wyglądasz, głuptasie"
"nothing beats a Jet2holiday, and right now, you can save fifty pounds per person, that's two hundred pounds off for a family of four, we've got millions of free child place holidays available with twenty two kilograms of baggage included, book now with Jet2holidays package holidays you can trust","Nada supera unas vacaciones con Jet2holidays, y ahora mismo puedes ahorrar cincuenta libras por persona, ¡doscientas libras de descuento para una familia de cuatro! Tenemos millones de plazas gratuitas para niños disponibles con veintidós kilogramos de equipaje incluidos. Reserva ya con los paquetes vacacionales de Jet2holidays, en los que puedes confiar.","Ничто не сравнится с предложениями Jet2holiday, и прямо сейчас вы можете сэкономить пятьдесят фунтов на человека, то есть двести фунтов скидки для семьи из четырех человек. У нас есть миллионы бесплатных мест для детей, включая 22 килограмма багажа. Бронируйте прямо сейчас пакетные туры от Jet2holidays, которым вы можете доверять.","Nada supera uma viagem com a Jet2holiday, e agora você pode economizar cinquenta libras por pessoa, o que representa duzentas libras de desconto para uma família de quatro pessoas. Temos milhões de pacotes de férias com crianças grátis e 22 quilos de bagagem incluídos. Reserve agora com a Jet2holidays, os pacotes de férias em que você pode confiar.",Nichts geht über eine Reise mit Jet2holidays! Sparen Sie jetzt 50 Pfund pro Person – das sind 200 Pfund für eine vierköpfige Familie. Wir bieten Millionen von kostenlosen Kinderplätzen und 22 Kilogramm Freigepäck. Buchen Sie jetzt Ihren Traumurlaub mit Jet2holidays – vertrauen Sie uns!,Jet2holidaysに勝るものはありません。今ならお一人様50ポンド、4人家族なら200ポンドもお得です。お子様無料宿泊プランが何百万件もご用意しており、22キログラムまでの手荷物も含まれています。信頼できるJet2holidaysのパッケージツアーで今すぐご予約ください。,"Rien ne vaut un séjour Jet2holiday ! En ce moment, vous pouvez économiser 50 £ par personne, soit 200 £ de réduction pour une famille de quatre. Des millions de séjours avec place enfant gratuite et 22 kg de bagages inclus sont disponibles. Réservez dès maintenant avec Jet2holiday et faites confiance à nos formules vacances.","Nic nie przebije oferty Jet2holiday, a teraz możesz zaoszczędzić pięćdziesiąt funtów na osobę, czyli dwieście funtów dla czteroosobowej rodziny. Mamy miliony darmowych wakacji z miejscem dla dzieci, z dwudziestoma dwoma kilogramami bagażu w cenie. Zarezerwuj teraz pakiety wakacyjne Jet2holidays, którym możesz zaufać."
"im stronger im smarter, im better, I AM BETTER","Soy más fuerte, soy más inteligente, soy mejor, SOY MEJOR","Я сильнее, я умнее, я лучше, Я ЛУЧШЕ","Eu sou mais forte, eu sou mais inteligente, eu sou melhor, EU SOU MELHOR","Ich bin stärker, ich bin klüger, ich bin besser, ICH BIN BESSER",私はもっ​​と強く、もっと賢く、もっと優れている、私はもっと優れている,"Je suis plus fort, je suis plus intelligent, je suis meilleur, JE SUIS MEILLEUR","Jestem silniejszy, jestem mądrzejszy, jestem lepszy, JESTEM LEPSZY"
pee is stored in the balls,La orina se almacena en las bolas.,Моча хранится в яичках.,A urina fica armazenada nos testículos.,In den Hoden wird Urin gespeichert.,尿はボールの中に蓄えられる,L'urine est stockée dans les testicules.,mocz gromadzi się w jajach
"AGAIN, AGAIN, AGAIN, AGAIN, AGAIN, BORN AGAIN, AGAIN, AGAIN, AGAIN, AGAIN, AGAIN","OTRA VEZ, OTRA VEZ, OTRA VEZ, OTRA VEZ, NACIDO DE NUEVO, OTRA VEZ, OTRA VEZ, OTRA VEZ, OTRA VEZ","СНОВА, СНОВА, СНОВА, СНОВА, СНОВА, РОЖДАЮ СНОВА, СНОВА, СНОВА, СНОВА, СНОВА, СНОВА","DE NOVO, DE NOVO, DE NOVO, DE NOVO, DE NOVO, NASCIDOS DE NOVO, DE NOVO, DE NOVO, DE NOVO, DE NOVO, DE NOVO","WIEDER, WIEDER, WIEDER, WIEDER, WIEDER, WIEDER GEBOREN, WIEDER, WIEDER, WIEDER, WIEDER, WIEDER",もう一度、もう一度、もう一度、もう一度、もう一度、生まれ変わる、もう一度、もう一度、もう一度、もう一度、もう一度,"ENCORE, ENCORE, ENCORE, ENCORE, ENCORE, NÉ À NOUVEAU, ENCORE, ENCORE, ENCORE, ENCORE, ENCORE","PONOWNIE, PONOWNIE, PONOWNIE, PONOWNIE, PONOWNIE, NARODZONY PONOWNIE, PONOWNIE, PONOWNIE, PONOWNIE, PONOWNIE, PONOWNIE, PONOWNIE"
there's a bag of bits hidden somewhere in every boss,Hay una bolsa de piezas escondida en algún lugar de cada jefe.,В каждом боссе где-то спрятан мешочек с мелочами.,Há um saco de peças escondido em algum lugar em cada chefe.,In jedem Boss ist irgendwo ein Beutel mit Kleinteilen versteckt.,ボスのどこかに、部品の入った袋が隠されている,Il y a un sac de pièces détachées caché quelque part dans chaque boss,w każdym bossie jest ukryta torba z częściami
there is no war in Ba Sing Se,No hay guerra en Ba Sing Se,В Ба Синг Се нет войны.,Não há guerra em Ba Sing Se.,In Ba Sing Se herrscht kein Krieg.,バ・シン・セには戦争はない,Il n'y a pas de guerre à Ba Sing Se,w Ba Sing Se nie ma wojny
the wee you is underrated,El pequeño tú está infravalorado,Этот малыш недооценен.,O pequeno você é subestimado,Du bist unterschätzt,小さな君は過小評価されている,Le petit toi est sous-estimé,ty mały jesteś niedoceniany
no game fell off harder than Roblocks,Ningún juego decayó más que Roblocks.,"Ни одна игра не потерпела такого сокрушительного краха, как Roblocks.",Nenhum jogo perdeu tanto prestígio quanto Roblox.,Kein Spiel ist so stark gefallen wie Roblocks.,Roblocksほど落ちぶれたゲームはない,Aucun jeu n'a connu un déclin aussi brutal que Roblocks.,żadna inna gra nie odniosła większego sukcesu niż Roblocks
"im eating animal crackers right now, jealous?","Estoy comiendo galletas con forma de animales ahora mismo, ¿envidia?","Я сейчас ем печенье в форме животных, завидуешь?","Estou comendo biscoitos de animais agora mesmo, com inveja?","Ich esse gerade Tierkekse, bist du neidisch?",今、動物ビスケットを食べてるんだけど、羨ましい？,"Je mange des biscuits animaux en ce moment, vous êtes jaloux ?","Właśnie jem krakersy w kształcie zwierząt, zazdroszczę?"
,,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
,,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
whatchu want fat f***,"¿Qué quieres, gordo de mierda?","Чего тебе нужно, жирный ублюдок?","O que você quer, seu gordo filho da puta?","Was willst du, du fette Sau?",お前はデブ野郎、何が欲しいんだ？,"Qu'est-ce que tu veux, gros connard ?",czego chcesz gruby k***a
what the game?,¿Cuál es el juego?,Что это за игра?,Qual é o jogo?,Welches Spiel?,ゲームは何ですか？,Quel est le jeu ?,co za gra?
"it's about fighting bosses and stuff i guess, you're askin the wrong guy","Supongo que se trata de luchar contra jefes y esas cosas, le estás preguntando a la persona equivocada.","Полагаю, речь идёт о сражениях с боссами и всё такое, ты не к тому человеку обращаешься.","É sobre lutar contra chefões e coisas do tipo, eu acho. Você está perguntando para a pessoa errada.","Es geht wohl um Bosskämpfe und so, aber du fragst den Falschen.",ボスと戦ったりする話だと思うけど、君は間違った人に聞いてるよ,"Il s'agit de combattre des boss et tout ça, je suppose. Tu t'adresses à la mauvaise personne.","chodzi o walkę z bossami i takie tam, chyba pytasz niewłaściwą osobę"
"idk, its made by one guy so probobly not","No sé, lo hizo una sola persona, así que probablemente no.","Не знаю, его сделал один человек, так что, наверное, нет.","Não sei, foi feito por uma pessoa só, então provavelmente não.","Keine Ahnung, es wurde von nur einer Person entwickelt, also wahrscheinlich nicht.",わからない、一人で作ったものだから多分違うと思う,"Je ne sais pas, c'est fait par une seule personne, donc probablement pas.","nie wiem, zrobił to jeden facet, więc prawdopodobnie nie"
his brainrot ahh watches instergam reels,su podredumbre cerebral ahh mira carretes de instergam,его мозговая деградация ахх смотрит instergam reels,sua podridão cerebral ahh assiste a rolos instérmicos,"Seine Hirnfäule, ahh, schaut sich Internet-Reels an.",彼の脳は腐り、インスタグラムのリールを見ている,sa dégénérescence cérébrale ahh regarde des bobines instergam,jego mózg zgnił ahh ogląda filmy instergam
GYEAH,SÍ,ДААА,É isso aí!,GYEAH,ギャー,OUAIS,GYEAH
u see that store?,¿Ves esa tienda?,Видишь тот магазин?,Você viu aquela loja?,Siehst du den Laden?,あの店、見える？,Tu vois ce magasin ?,Widziałeś ten sklep?
go in.,entrar.,входить.,entrar.,Geh hinein.,入る。,entrer.,wchodzić.
"i dont have all day fat***, i gotta stand in this spot some more","No tengo todo el día, gordo***, tengo que quedarme en este sitio un rato más.","У меня нет целого дня, толстяк, мне нужно еще немного постоять на этом месте.","Não tenho o dia todo, gordo, preciso ficar parado aqui mais um pouco.","Ich habe nicht den ganzen Tag Zeit, ich muss noch etwas länger hier stehen bleiben.",一日中時間があるわけじゃないんだ、デブ。もう少しこの場所に立っていなきゃいけないんだ。,"J'ai pas toute la journée, gros lard, je dois rester là encore un peu.","nie mam tłuszczu przez cały dzień***, muszę jeszcze trochę wytrzymać w tym miejscu"
bye gyeah,adiós sí,пока-пока,tchau gyeah,bye gyeah,バイバイ、イェー,au revoir gyeah,"pa, panie"
"i dont have all day fat***, i gotta stand in this spot some more","No tengo todo el día, gordo***, tengo que quedarme en este sitio un rato más.","У меня нет целого дня, толстяк, мне нужно еще немного постоять на этом месте.","Não tenho o dia todo, gordo, preciso ficar parado aqui mais um pouco.","Ich habe nicht den ganzen Tag Zeit, ich muss noch etwas länger hier stehen bleiben.",一日中時間があるわけじゃないんだ、デブ。もう少しこの場所に立っていなきゃいけないんだ。,"J'ai pas toute la journée, gros lard, je dois rester là encore un peu.","nie mam tłuszczu przez cały dzień***, muszę jeszcze trochę wytrzymać w tym miejscu"
bye gyeah,adiós sí,пока-пока,tchau gyeah,bye gyeah,バイバイ、イェー,au revoir gyeah,"pa, panie"
you dumb fat lard quit eating so much,"¡Tú, gordo tonto, deja de comer tanto!","Ты тупой жирный сало, перестань так много есть!","Seu gordo idiota, pare de comer tanto!","Du dummer, fetter Sack, hör auf, so viel zu essen!",バカなデブ野郎、そんなに食べるのをやめろ,"Espèce de gros lard stupide, arrête de manger autant !",ty głupi gruby smalcu przestań tyle jeść
probly got fat in yur brain,Probablemente se te subió la grasa al cerebro.,"Наверное, у тебя в мозгу скопилось много жира.",Provavelmente engordou no seu cérebro.,Wahrscheinlich hat sich Fett in deinem Gehirn angesammelt,脳が太ったのかも,Tu as probablement pris du poids dans ton cerveau,prawdopodobnie masz tłuszcz w mózgu
"i can smell the fat, fat f***","Puedo oler la grasa, la grasa de mierda","Я чувствую запах жира, жирного ублюдка","Consigo sentir o cheiro daquele gordo, aquele gordo filho da puta.","Ich kann den fetten, fetten Kerl riechen",太ったクソ野郎の匂いがする,"je sens la graisse, la grosse merde","czuję zapach tłustego, tłustego k***sa"
come back when u graduate preschool,Vuelve cuando te gradúes de preescolar.,"Возвращайся, когда закончишь детский сад.",Volte quando você se formar na pré-escola.,"Komm wieder, wenn du den Kindergarten abgeschlossen hast.",幼稚園を卒業したらまた来てね,Reviens quand tu auras fini la maternelle.,"wróć, jak skończysz przedszkole"
if u dont wanna play thats fine with me,"Si no quieres jugar, no hay problema.","Если ты не хочешь играть, это меня вполне устраивает.","Se você não quiser jogar, tudo bem para mim.","Wenn du nicht spielen willst, ist das für mich in Ordnung.",遊びたくないなら、それでも構いません。,"Si tu ne veux pas jouer, ça me va.","Jeśli nie chcesz grać, nie mam nic przeciwko"
bye gyeah,adiós sí,пока-пока,tchau gyeah,bye gyeah,バイバイ、イェー,au revoir gyeah,"pa, panie"
yeah yeah bye chubber go eat some more jello,"Sí, sí, adiós gordito, ve a comer más gelatina.","Да-да, пока, толстяк, иди съешь еще желе.","É, é, tchau gordinho, vai comer mais gelatina.","Ja ja, tschüss Dickerchen, iss noch mehr Wackelpudding!",はいはい、じゃあね、デブちゃん、もっとゼリーを食べに行きなさい,"Ouais ouais, salut gros lard, va manger encore de la gelée",tak tak pa chuber idź zjeść jeszcze trochę galaretki
GYEAH,SÍ,ДААА,É isso aí!,GYEAH,ギャー,OUAIS,GYEAH
what now?,¿Y ahora qué?,Что теперь?,E agora?,Und nun?,これからどうすればいい？,Et maintenant ?,co teraz?
uhh... you can press f2 to restart?,ehh... ¿puedes pulsar f2 para reiniciar?,Эмм... можно нажать F2 для перезапуска?,Hum... você pode pressionar F2 para reiniciar?,"Ähm... man kann F2 drücken, um neu zu starten?",えっと…F2キーを押すと再起動できますか？,Euh... vous pouvez appuyer sur F2 pour redémarrer ?,"uhh... możesz nacisnąć f2, żeby zrestartować?"
idk talk to the store guy god damn,"No sé, habla con el chico de la tienda, maldita sea.","Не знаю, поговори с продавцом в магазине, чёрт возьми.","Sei lá, fala com o cara da loja, caramba.","Keine Ahnung, sprich mit dem Typen im Laden, verdammt nochmal!",わかんない、店員に聞いてみろよ、まったく。,"Je sais pas, parle au vendeur, putain !","nie wiem, porozmawiaj ze sprzedawcą, do cholery"
oh my god you motherfu,"¡Oh, Dios mío, hijo de puta!","О боже мой, ты, ублюдок!",ai meu deus seu filho da puta,"Oh mein Gott, du verdammter Mistkerl!",ああ、なんてこった、このクソ野郎,"Oh mon dieu, espèce d'enfoiré","o mój Boże, ty skurwysynu"
NOOOOOOOOOOOO S*** YOURSELF GRAAAAAAAAAH,NOOOOOOOOOOOOO MÉTETE A TI MISMO GRAAAAAAAAAH,НЕТ ...,NÃO! SE MERDA! GRAAAAAAAAH,NEEEEEEEEEEEEEIN SCHEIß DICH SELBST GRAAAAAAAAAH,いやああああああああ、クソくらえ、グラー,NON ! TU ES MORT GRAAAAAAAAAH,NIEEE ...
FAT F*** OOOOOHMAHHGNYEEAAAAAHHHHD NO!,GORDA M*** OOOOOHMAHHGNYEEAAAAAHHHHD ¡NO!,ЖИРНЫЙ *** ООООООООООООООООООООООООООООООООООООООООООООООООООООООООООООООООООООООООООООООООООООООООООООООООООООООООООООООООООООООООООООООО до МАХ-ГНЫЕАААААА-НЕТ!,GORDO F*** OOOOOHMAHHGNYEEAAAAAHHHHD NÃO!,FAT F*** OOOOOHMAHHGNYEEAAAAAHHHHD NEIN!,デブクソ*** おおおおおおおおおおおおおおおおおおおおおおおおおおおおおおおおおおおおおおおおおおおおおおおおおおおおおおおおおおおおおおおおおおおおおおおおおおおおおおおおおおおおおおおおおおおおおおおおおおおおおおおおおおおおおおおおおおおおおおおおおおおおおおおおおおおおおおおおおおおおおおおおおおおおおおおおおおおおおおおおおおおおおおおおおおおおおおおおおおおおおおおおおおおおおおおおおおおおおおおおおおおおおおおおおおおおおおおおおおおおおおおお！,GROS F*** OOOOOOHMAHHGNYEEAAAAAHHHHD NON !,GRUBY KURWA OOOOOHMAHGNYEEAAAAAHHHHD NIE!
GETTHEF***OUTAHERE GYEEEEEEAAAAAAAAAAAAAAAAAAAAAAAAAAAAHhhhAAAhhhhAAAAhhhhAAAAAAAH!!,GETTHEF***OUTAHERE GYEEEEEEAAAAAAAAAAAAAAAAAAAAAAAAAAAAHhhhAAAhhhhAAAahhhhAAAAAAAH!!,"ПОЛУЧИТЕ *** ЗДЕСЬ, ДААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААА!!",TÁ *** FORA AQUI GYEEEEEEAAAAAAAAAAAAAAAAAAAAAAAHhhhAAAhhhhAAAAhhhhAAAAAAAH!!,GETTHEF***OUTAHERE GYEEEEEEAAAAAAAAAAAAAAAAAAAAAAAAAAAAHhhhAAAhhhhAAAAhhhhAAAAAAAH!!,GETTHEF***OUTAHERE GYEEEEEEああああああああああああああああああああああああああああああああああああああああああああああああ！！,GETTHEF***OUTAHERE GYEEEEEEAAAAAAAAAAAAAAAAAAAAAAAAAAAAAHhhhAAAhhhhAAAAhhhhAAAAAAAH !!,WYJDŹ TUTAJ GYEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA!!
YOU FAT F*** YOU WANT A BEEF TACO DONT YOU FAT***,"¡GORDO DE MIERDA! ¿QUIERES UN TACO DE CARNE, NO, GORDO?","Ты, жирный ублюдок, хочешь тако с говядиной, не так ли, жирный ублюдок?","SEU GORDO DE MERDA, VOCÊ QUER UM TACO DE CARNE, NÃO É, SEU GORDO?","DU FETTES FICK, WILLST DU NICHT EIN RINDFLEISCH-TACO, DU FETTES FICK?",このデブ野郎、ビーフタコスが食べたいだろ、このデブ野郎！,"GROS CON, TU VEUX UN TACOS AU BŒUF, PAS GROS CON ?","TY GRUBY CHCESZ TACO Z WOŁOWINĄ, CZY NIE JESTEŚ GRUBY***"
YOU WANT THE IIIIICE CREAM!?!?!?,¡¿QUIERES EL HELADO?!?!?,ТЫ ХОЧЕШЬ МОРОЖЕНОЕ?!?!?,VOCÊ QUER SORVETE?!?!?,DU WILLST DAS EISCREME?!?!?,アイスクリームが欲しいの！？！？,TU VEUX DE LA GLACE ?!?!?!?,CHCESZ LODÓW!?!?!?
EVERY DAY YOU WANT A PIZZA SLICE YOU FAT,"TODOS LOS DÍAS QUIERES UNA REBANADA DE PIZZA, ESTÁS GORDO","Каждый день тебе хочется кусочек пиццы, ты толстяк!","TODO DIA VOCÊ QUER UMA FATIA DE PIZZA, SEU GORDO","JEDEN TAG WILLST DU EIN STÜCK PIZZA, DU FETTES DU",毎日ピザ一切れが食べたいなんて、デブめ,"TU AS ENVIE D'UNE PART DE PIZZA TOUS LES JOURS, GROS GROS","KAŻDEGO DNIA CHCESZ KAWAŁEK PIZZY, JESTEŚ GRUBY"
FAT,GORDO,ТОЛСТЫЙ,GORDO,FETT,脂肪,GRAISSE,TŁUSZCZ
FAT F***,GORDO DE MIERDA,ЖИРНЫЙ Ублюдок,GORDO FILHO DA PUTA,FETTER SCHEISSKERL,デブ野郎,GROS CON,GRUBY KURWA
GYEEEAAHAHHHMHMMMNMMNMMM!!,¡GYEEEEAHAHHHMHMMMNMMNMMM!!,ГИЕЕЕААХАХХМХМММНММНММ!!,GYEEEAAHAHHHMHMMMNMMNMMM!!,GYEEEAAHAHHHMHMMMNMMNMMM!!,ぎゃああ,GYEEEAAHAHHHMHMMMNMMNMMM!!,GYEEEAAHAHHHMHMMMNMMNMMM!!
get outta here jelly boy,"¡Fuera de aquí, chico gelatina!","Убирайся отсюда, желеобразный мальчик","Sai daqui, garoto gelatinoso","Hau ab, du Weichei!",出て行け、ジェリーボーイ,"Dégage, petit bonhomme.","wynoś się stąd, galaretkowaty chłopcze"
GYYEEEEEAH,GYYEEEEEAH,ГЙЙЕЕЕЕАХ,GYYEEEEEAH,GYEEEEEAH,ギィィィィィィ,GYYEEEEEAH,GYYEEEEEEAH
hey fatty,"Hola, gordito","Эй, толстяк!","Ei, gordinho",Hey Dickerchen,おい、デブ,"Hé, grosse !",hej grubasie
"nah, only fat people paint stuff gyeah","Nah, solo la gente gorda pinta cosas, sí.","Нет, только толстые люди рисуют, да.","Não, só pessoas gordas pintam coisas, é isso aí.","Naja, nur dicke Leute malen Sachen, ja.",いや、太った人だけが絵を描くんだよ、イェー,"Non, seuls les gros peignent des trucs, ouais.","nie, tylko grubasy malują rzeczy, kurde"
GNO,GNO,ГНО,GNO,GNO,GNO,GNO,GNO
what?,¿qué?,что?,o que?,Was?,何？,quoi ?,Co?
real like how? like are they made of wood?,¿De verdad? ¿Están hechos de madera?,"Как это вообще возможно? Они что, сделаны из дерева?","Tipo, como assim? São feitos de madeira?",Echt? Wie genau? Sind die aus Holz?,本物ってどういう意味？木でできてるの？,"Vraiment comment ? Genre, elles sont en bois ?",jak prawdziwe? czy są zrobione z drewna?
and metal?,¿Y metal?,А металл?,E metal?,und Metall?,そして金属？,et du métal ?,i metal?
and brush..... material?,y pincel.... ¿material?,и кисть... материал?,e pincel... material?,und Pinsel... Material?,そしてブラシ……素材は？,et le pinceau... matériau ?,i pędzel.....materiał?
you're fat at small talk gyeah,"Eres malo para las conversaciones triviales, sí.","Ты толстый, когда дело доходит до светской беседы, да?","Você é péssimo em conversa fiada, é mesmo?","Du bist ein Witz im Smalltalk, ja?",君は雑談が上手だね,"t'es nul en conversation banale, ouais","jesteś gruba w small talku, gyeah"
tf is this smile man.,"¿Qué es esta sonrisa, tío?","Что это за улыбка, чувак?","Que sorriso é esse, cara?","Was zum Teufel ist das für ein Lächeln, Mann?",この笑顔は何なんだ。,"C'est quoi ce sourire, mec ?",tf to ten uśmiechnięty człowiek.
"sh*t's creepy, but like in a fat way.","Esa mierda da miedo, pero en el buen sentido.","Это жутко, но в каком-то смысле, как у толстяка.","É assustador, mas de um jeito meio gordo.","Das ist echt gruselig, aber auf eine total abgefahrene Art.",気持ち悪いけど、太った感じの気持ち悪い。,"C'est flippant, mais genre gros.","to jest straszne, ale w gruby sposób."
whoever made it's probably got grease falls pouring out of their fat f***ing rotund fat rolls.,Quien lo haya hecho probablemente tenga gotas de grasa chorreando de sus jodidos y redondos rollos de grasa.,"Тот, кто это приготовил, наверняка аж жирные складки льются рекой.",Quem fez isso provavelmente tem gordura escorrendo de suas enormes dobras de gordura.,"Wer auch immer das gemacht hat, dem tropft wahrscheinlich der Fettsaft aus seinen fetten, verdammt runden Speckröllchen.",それを作った奴は、きっとそのデブで丸々とした脂肪の塊から油が滴り落ちてるんだろうな。,Celui qui a fait ça doit avoir de la graisse qui dégouline de ses gros bourrelets bien ronds.,"ktokolwiek to zrobił, pewnie ma tłuste krople wylewające się z jego grubych, k**** grubych wałków."
WHY THE F*CK ARE YOU TALKING DON'T F*CKING TALK TO ME UNTIL YOU'RE NOT THE FATTEST F*CKING THING TO EVER WALK THE EARTH.,¿POR QUÉ COÑO ESTÁS HABLANDO? NO ME HABLES HABLAR HASTA QUE NO SEAS LA COSA MÁS GORDA QUE JAMÁS HAYA CAMINADO SOBRE LA TIERRA.,"С какого хрена ты со мной разговариваешь? Не смей со мной разговаривать, пока не перестанешь быть самым толстым существом на земле.",POR QUE RAIOS VOCÊ ESTÁ FALANDO? NÃO FALE COMIGO ATÉ QUE VOCÊ NÃO SEJA A COISA MAIS GORDA QUE JÁ PISOU A TERRA.,"WARUM ZUM TEUFEL REDEST DU DA? REDE NICHT MIT MIR, BIS DU NICHT MEHR DAS FETTESTE VERDAMMTE DING BIST, DAS JE AUF DER ERDE GEWANNT IST.",なんで喋ってるんだよ。地球上で一番デブなクソ野郎じゃなくなるまで、俺に話しかけるな。,"POURQUOI TU PARLES, PUTAIN ? NE ME PARLE PLUS TANT QUE TU NE SERAS PAS LA CHOSE LA PLUS GROSSE AYANT JAMAIS FAIT LE TOUR SUR TERRE.","DLACZEGO DO CHOLERY TY gadasz? NIE MÓW DO MNIE, DOPÓKI NIE BĘDZIESZ NAJGRUBSZYM, KURWA, JAKIM KIEDYKOLWIEK CHODZIŁO PO ZIEMI."
I CAN'T F*CKING TELL IF YOU'RE THE LARGEST FUCKING THING TO NOT FIT IN MY FIELD OF VIEW OR IF YOU'RE JUST PREGNANT WITH 415 F*CKING KIDS.,NO PUEDO SABER SI ERES LA COSA MÁS GRANDE QUE NO CABE EN MI CAMPO DE VISIÓN O SI SIMPLEMENTE ESTÁS EMBARAZADA DE 415 HIJOS.,"Я, блять, не могу понять, ты просто самая большая, блять, штука, которая не помещается в моём поле зрения, или ты просто беременна 415, блять, детьми.",Eu não consigo dizer se você é a maior coisa que não cabe no meu campo de visão ou se você está grávida de 415 filhos.,"ICH KANN NICHT SCHAUEN, OB DU DAS GRÖSSTE VERDAMMTE DING BIST, DAS NICHT IN MEIN SICHTFELD PASST, ODER OB DU EINFACH NUR MIT 415 VERDAMMTEN KINDERN SCHWANGER BIST.",お前が俺の視界に収まらない最大の物体なのか、それとも415人も子供を妊娠しているのか、俺には全く分からない。,JE N'ARRIVE PAS À DIRE SI TU ES LA PLUS GROSSE CHOSE QUI NE TIENT PAS DANS MON CHAMP DE VUE OU SI TU ES JUSTE ENCEINTE DE 415 PUTAIN D'ENFANTS.,"NIE MOGĘ KURWA POZNAĆ, CZY JESTEŚ NAJWIĘKSZĄ RZECZĄ, KTÓRA NIE PASUJE DO MOJEGO POLA WIDZENIA, CZY PO PROSTU JESTEŚ W CIĄŻY Z 415 DZIEĆMI."
THE MOON AIN'T SH*T COMPARED TO YOU YOU'RE THE F*CKING REASON FOR TIDAL WAVES.,"LA LUNA NO ES NADA COMPARADA CONTIGO, TÚ ERES LA MALDITA RAZÓN DE LOS MAREOMAREAS.","Луна — ничто по сравнению с тобой, ты, блядь, причина приливных волн.",A lua não é nada comparada a você. Você é o verdadeiro motivo dos tsunamis.,"DER MOND IST NICHTS IM VERGLEICH ZU DIR, DU BIST DER VERDAMMTE GRUND FÜR DIE TIDALWELLE.",お前に比べたら月なんて何でもない。お前こそが津波の原因だ。,"LA LUNE, C'EST DE LA MERDE COMPARÉ À TOI, C'EST TOI QUI ES LA PUTAIN DE RAISON DES MARÉES.",KSIĘŻYC TO NIC NIE ZNACZY W PORÓWNANIU Z TOBĄ. JESTEŚ CHOLERNYM POWODEM FAL PRZYPŁYWOWYCH.
EVERY TIME YOU BREATHE YOU MOVE TECTONIC PLATES YOU FAT,CADA VEZ QUE RESPIRAS MUEVES LAS PLACAS TECTÓNICAS TE ENGORDAN,"Каждый раз, когда ты дышишь, ты двигаешь тектонические плиты, ты толстеешь.","A cada respiração, você move as placas tectônicas. Você engorda.",Bei jedem Atemzug bewegen sich tektonische Platten. Du Fett,息をするたびに地殻プレートが動き、太る,"À CHAQUE FOIS QUE VOUS RESPIREZ, VOUS FAITES BOUGER LES PLAQUES TECTONIQUES, VOUS GROSSEZ","ZA KAŻDYM RAZEM, GDY ODDYCHASZ, PRZESUWASZ PŁYTY TEKTONICZNE, TYJESZ"
FAT,GORDO,ТОЛСТЫЙ,GORDO,FETT,脂肪,GRAISSE,TŁUSZCZ
FAT,GORDO,ТОЛСТЫЙ,GORDO,FETT,脂肪,GRAISSE,TŁUSZCZ
F*CK!!,¡JODER!,ЧЁРТ ВОЗЬМИ!!,PORRA!!,VERDAMMT!!,くそっ！！,PUTAIN !!,KURWA!!
gyea,gyea,гиеа,gyea,gyea,ギェア,gyea,gyea
uhhhhh hey man...,uhhhhh oye hombre...,"Ээээ, привет, чувак...",uhhhhh ei cara...,"Ähm, hey Mann...",えーっと、やあ…,euhhhhh salut mec...,uhhhhh hej stary...
Yknow just...,"Ya sabes, simplemente...","Ну, просто...","Sabe, só...","Weißt du, einfach...",まあ、とにかく…,"Tu sais, juste...","Wiesz, po prostu..."
